-727,2727  2,411006E-7  0  0,001184551  0,003337306
-750  4,428783E-7  0  -0,002800239  0,004081311
-774,1935  5,849819E-7  0  -0,005357957  0,002402655
-800  4,000789E-7  0  -0,004980933  -0,000608594
-827,5862  1,912777E-7  0  -0,001790167  -0,003111021
-857,1429  2,674323E-7  0  0,002492097  -0,003620972
-888,8889  4,333226E-7  0  0,005486259  -0,001889588
-923,0769  3,711691E-7  0  0,005491973  0,0009693125
-960  1,776258E-7  0  0,002460336  0,003169391
-1000  1,52535E-7  0  -0,001957236  0,003342089
-1043,478  2,820318E-7  0  -0,005321455  0,001371631
-1090,909  3,04359E-7  0  -0,005769283  -0,001528213
-1142,857  1,707561E-7  0  -0,003059406  -0,003545801
-1200  9,233877E-8  0  0,001293679  -0,003376757
-1263,158  1,582421E-7  0  0,00487348  -0,001038622
-1333,333  2,123734E-7  0  0,005718888  0,002103081
-1411,765  1,46527E-7  0  0,003415931  0,00412925
-1500  6,474658E-8  0  -0,0006914252  0,003721307
-1600  7,673875E-8  0  -0,004282798  0,0009882871
-1714,286  1,225478E-7  0  -0,005381815  -0,002540153
-1846,154  1,037678E-7  0  -0,003459869  -0,004775911
-2000  4,726193E-8  0  0,0003004428  -0,004301248
-2181,818  3,284074E-8  0  0,003718374  -0,001243988
-2400  5,522537E-8  0  0,00488041  0,002731933
-2666,667  5,56935E-8  0  0,003223465  0,005343802
-3000  2,833423E-8  0  -0,0001825342  0,005004423
-3428,571  1,214422E-8  0  -0,003299675  0,001775068
-4000  1,625282E-8  0  -0,004331155  -0,002610365
-4800  1,765798E-8  0  -0,002761397  -0,005690644
-6000  9,121358E-9  0  0,0003767126  -0,005670095
-8000  2,543419E-9  0  0,00315086  -0,002465723
-12000  1,415567E-9  0  0,0038982  0,002202246
-24000  6,699959E-10  0  0,002215574  0,005748259
-1,80144E18  1,213713E-37  0  -0,0008156564  0,006169946
24000  3,715879E-10  0  -0,003298742  0,003188499
12000  1,131099E-9  0  -0,003680178  -0,001572825
8000  5,238488E-9  0  -0,001701083  -0,005484177
6000  1,207596E-8  0  0,001433119  -0,006379505
4800  1,256337E-8  0  0,003773358  -0,003771916
4000  9,723384E-9  0  0,003812305  0,0008749475
3428,571  2,315474E-8  0  0,001423899  0,004973871
3000  4,901277E-8  0  -0,002016756  0,006269933
